Date	year	month	line_section	regularity
2012-05	2012	5	N1_3	0.9097435897435897
2012-05	2012	5	N1_3_1	0.947565543071161
2012-05	2012	5	S1	0.8873478193866543
2012-05	2012	5	S1_1	0.8832275611967362
2012-05	2012	5	S1_1_1	0.8832956259426847
2012-05	2012	5	S1_1_1_1	0.8827202653917455
2012-05	2012	5	S1_1_1_1_1	0.9051724137931034
2012-05	2012	5	S1_1_1_1_2	0.8572298696552565
2012-05	2012	5	S1_1_1_1_2_1	0.8554560788893214
2012-05	2012	5	S1_1_1_1_2_1_1	0.8818321785989223
2012-05	2012	5	S1_1_1_1_2_1_1_1	0.878622197922362
2012-05	2012	5	S1_1_1_1_2_1_1_1_1	0.9184952978056427
2012-05	2012	5	S1_1_1_1_2_1_2	0.8367863720073665
2012-05	2012	5	S1_1_1_1_2_1_2_1	0.833670812843506
2012-05	2012	5	S1_1_1_1_2_1_2_1_1	0.7936333699231614
2012-05	2012	5	S1_1_1_1_2_1_2_1_1_1	0.7697841726618705
2012-05	2012	5	S1_1_1_1_3	0.9036873968079251
2012-05	2012	5	S1_1_1_1_3_1	0.9242105263157895
2012-05	2012	5	S1_1_1_1_3_2	0.9276807980049875
2012-05	2012	5	S1_1_1_1_3_3	0.8918406072106262
2012-05	2012	5	S1_2	0.9106776180698152
2012-05	2012	5	S1_2_1	0.9164319248826291
2012-05	2012	5	S1_2_1_1	0.9205834683954619
2012-06	2012	6	A1	0.9176131074287842
2012-06	2012	6	A1_1	0.9367367706919946
2012-06	2012	6	A1_1_1	0.9443037974683545
2012-06	2012	6	A1_1_1_1	0.9545454545454546
2012-06	2012	6	A1_1_1_2	0.9554896142433235
2012-06	2012	6	A1_1_1_3	0.9329268292682926
2012-06	2012	6	A1_1_1_3_1	0.9243421052631579
2012-06	2012	6	A1_1_2	0.947736817545497
2012-06	2012	6	A1_1_2_1	0.9470729751403368
2012-06	2012	6	A1_2	0.8943458522492778
2012-06	2012	6	A1_2_1	0.8958569807037458
2012-06	2012	6	A1_2_1_1	0.8901601830663616
2012-06	2012	6	A1_2_1_2	0.8948348068869242
2012-06	2012	6	A1_2_1_2_1	0.9018280297901151
2012-06	2012	6	A1_2_1_2_1_1	0.8583333333333334
2012-06	2012	6	E1	0.9237351190476191
2012-06	2012	6	E1_1	0.927313769751693
2012-06	2012	6	E1_1_1	0.9275500476644423
2012-06	2012	6	N1	0.869464544138929
2012-06	2012	6	N1_1	0.8694581280788177
2012-06	2012	6	N1_2	0.8523878437047757
2012-06	2012	6	N1_3	0.9057377049180328
2012-06	2012	6	N1_3_1	0.9516728624535316
2012-06	2012	6	S1	0.8922223115901231
2012-06	2012	6	S1_1	0.8865122361292733
2012-06	2012	6	S1_1_1	0.8869463869463869
2012-06	2012	6	S1_1_1_1	0.8860072376357057
2012-06	2012	6	S1_1_1_1_1	0.9137931034482758
2012-06	2012	6	S1_1_1_1_2	0.8625094864659753
2012-06	2012	6	S1_1_1_1_2_1	0.8596301795114051
2012-06	2012	6	S1_1_1_1_2_1_1	0.8840694006309149
2012-06	2012	6	S1_1_1_1_2_1_1_1	0.8819561551433389
2012-06	2012	6	S1_1_1_1_2_1_1_1_1	0.903010033444816
2012-06	2012	6	S1_1_1_1_2_1_2	0.8412316574452731
2012-06	2012	6	S1_1_1_1_2_1_2_1	0.8398307645814446
2012-06	2012	6	S1_1_1_1_2_1_2_1_1	0.788235294117647
2012-06	2012	6	S1_1_1_1_2_1_2_1_1_1	0.7313829787234043
2012-06	2012	6	S1_1_1_1_3	0.9040404040404041
2012-06	2012	6	S1_1_1_1_3_1	0.9026915113871635
2012-06	2012	6	S1_1_1_1_3_2	0.9316455696202531
2012-06	2012	6	S1_1_1_1_3_3	0.896887159533074
2012-06	2012	6	S1_2	0.9276201505500868
2012-06	2012	6	S1_2_1	0.9198167239404352
2012-06	2012	6	S1_2_1_1	0.910913140311804
2012-07	2012	7	A1	0.92956432503032
2012-07	2012	7	A1_1	0.9425326326496016
2012-07	2012	7	A1_1_1	0.9399519615692554
2012-07	2012	7	A1_1_1_1	0.9358974358974359
2012-07	2012	7	A1_1_1_2	0.9502617801047121
2012-07	2012	7	A1_1_1_3	0.9362880886426592
2012-07	2012	7	A1_1_1_3_1	0.9317507418397626
2012-07	2012	7	A1_1_2	0.956973293768546
2012-07	2012	7	A1_1_2_1	0.9592529711375212
2012-07	2012	7	A1_2	0.9136929460580913
2012-07	2012	7	A1_2_1	0.9146478873239436
2012-07	2012	7	A1_2_1_1	0.8769230769230769
2012-07	2012	7	A1_2_1_2	0.9179510426110608
2012-07	2012	7	A1_2_1_2_1	0.9268134715025906
2012-07	2012	7	A1_2_1_2_1_1	0.9076923076923077
2012-07	2012	7	E1	0.9368304396010344
2012-07	2012	7	E1_1	0.9324204946996466
2012-07	2012	7	E1_1_1	0.9190968955785512
2012-07	2012	7	N1	0.9081723625557206
2012-07	2012	7	N1_1	0.946236559139785
2012-07	2012	7	N1_2	0.8783251231527094
2012-07	2012	7	N1_3	0.956386292834891
2012-07	2012	7	N1_3_1	0.9680851063829787
2012-07	2012	7	S1	0.8911690108369841
2012-07	2012	7	S1_1	0.8852695041842886
2012-07	2012	7	S1_1_1	0.886727153680666
2012-07	2012	7	S1_1_1_1	0.8860710483012293
2012-07	2012	7	S1_1_1_1_1	0.902542372881356
2012-07	2012	7	S1_1_1_1_2	0.8495867768595041
2012-07	2012	7	S1_1_1_1_2_1	0.8477987421383648
2012-07	2012	7	S1_1_1_1_2_1_1	0.8569293985805005
